"FileName","FullPath","SizeKB","Reason"
"3H4YAGSE__Diapositiva646.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3H4YAGSE__Diapositiva646.JPG","69.1","Could not parse NFT number from filename"
"3H67EJE5__Diapositiva465.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3H67EJE5__Diapositiva465.JPG","57","Could not parse NFT number from filename"
"3H988BNF__Diapositiva954.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3H988BNF__Diapositiva954.JPG","105.6","Could not parse NFT number from filename"
"3HBK69K6__Diapositiva913.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3HBK69K6__Diapositiva913.JPG","132.8","Could not parse NFT number from filename"
"3HZAYHR9__Diapositiva933.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3HZAYHR9__Diapositiva933.JPG","143.7","Could not parse NFT number from filename"
"3IKFVH9M__Diapositiva54.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3IKFVH9M__Diapositiva54.JPG","75.9","Could not parse NFT number from filename"
"3JLCYD7E__Diapositiva554.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3JLCYD7E__Diapositiva554.JPG","68.8","Could not parse NFT number from filename"
"3JSCIA2Y__Diapositiva351.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3JSCIA2Y__Diapositiva351.JPG","93.4","Could not parse NFT number from filename"
"3JZLADY7__Diapositiva346.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3JZLADY7__Diapositiva346.JPG","85.1","Could not parse NFT number from filename"
"3KPQGLNH__Diapositiva650.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3KPQGLNH__Diapositiva650.JPG","92.3","Could not parse NFT number from filename"
"3KZ93V7X__Diapositiva118.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3KZ93V7X__Diapositiva118.JPG","82.7","Could not parse NFT number from filename"
"3MPJ9TRL__Diapositiva537.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3MPJ9TRL__Diapositiva537.JPG","66.4","Could not parse NFT number from filename"
"3MXMQDTX__Diapositiva197.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3MXMQDTX__Diapositiva197.JPG","134.6","Could not parse NFT number from filename"
"3MYB4HFD__Diapositiva416.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3MYB4HFD__Diapositiva416.JPG","43.3","Could not parse NFT number from filename"
"3P4TBI2D__Diapositiva531.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3P4TBI2D__Diapositiva531.JPG","138.7","Could not parse NFT number from filename"
"3P7PIXGX__Diapositiva758.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3P7PIXGX__Diapositiva758.JPG","112.4","Could not parse NFT number from filename"
"3PBGHGRJ__Diapositiva462.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3PBGHGRJ__Diapositiva462.JPG","72.9","Could not parse NFT number from filename"
"3PKC9GW4__Diapositiva949.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3PKC9GW4__Diapositiva949.JPG","62.7","Could not parse NFT number from filename"
"3QMIYIP6__Diapositiva877.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3QMIYIP6__Diapositiva877.JPG","46.3","Could not parse NFT number from filename"
"3QXFRKX2__Diapositiva224.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3QXFRKX2__Diapositiva224.JPG","88.8","Could not parse NFT number from filename"
"3SH95NYI__Diapositiva47.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3SH95NYI__Diapositiva47.JPG","111.9","Could not parse NFT number from filename"
"3SWBUQSZ__Diapositiva29.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3SWBUQSZ__Diapositiva29.JPG","76.7","Could not parse NFT number from filename"
"3TCQVBNP__Diapositiva148.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3TCQVBNP__Diapositiva148.JPG","61.8","Could not parse NFT number from filename"
"3TGFFWMU__Diapositiva820.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3TGFFWMU__Diapositiva820.JPG","83.5","Could not parse NFT number from filename"
"3UBPP4D2__Diapositiva369.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3UBPP4D2__Diapositiva369.JPG","83.3","Could not parse NFT number from filename"
"3UR2V7KH__Diapositiva210.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3UR2V7KH__Diapositiva210.JPG","79.2","Could not parse NFT number from filename"
"3VQJWS4I__Diapositiva137.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3VQJWS4I__Diapositiva137.JPG","153.5","Could not parse NFT number from filename"
"3VTAIM7U__Diapositiva237.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3VTAIM7U__Diapositiva237.JPG","114","Could not parse NFT number from filename"
"3W7CRQHD__Diapositiva634.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3W7CRQHD__Diapositiva634.JPG","115.3","Could not parse NFT number from filename"
"3WLQGKVJ__Diapositiva373.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3WLQGKVJ__Diapositiva373.JPG","101.7","Could not parse NFT number from filename"
"3XD2QBCL__Diapositiva815.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3XD2QBCL__Diapositiva815.JPG","72.4","Could not parse NFT number from filename"
"3XNF6Q58__Diapositiva370.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3XNF6Q58__Diapositiva370.JPG","77.6","Could not parse NFT number from filename"
"3XT5WHKK__Diapositiva433.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3XT5WHKK__Diapositiva433.JPG","51.8","Could not parse NFT number from filename"
"3YI8YDN6__Diapositiva753.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3YI8YDN6__Diapositiva753.JPG","37.1","Could not parse NFT number from filename"
"3YWVY5RY__Diapositiva965.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3YWVY5RY__Diapositiva965.JPG","118.8","Could not parse NFT number from filename"
"3Z5IWKEM__Diapositiva456.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3Z5IWKEM__Diapositiva456.JPG","77.5","Could not parse NFT number from filename"
"3ZIHZCZN__Diapositiva53.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3ZIHZCZN__Diapositiva53.JPG","47.1","Could not parse NFT number from filename"
"3ZTM5N9V__Diapositiva794.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3ZTM5N9V__Diapositiva794.JPG","91.7","Could not parse NFT number from filename"
"3ZZ3B3V8__Diapositiva82.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3ZZ3B3V8__Diapositiva82.JPG","125.5","Could not parse NFT number from filename"
"42DLGHIZ__Diapositiva394.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\42DLGHIZ__Diapositiva394.JPG","71.4","Could not parse NFT number from filename"
