"NFTNumber","DisplayTitle","FileName","FullPath","Extension","SizeKB","InExpectedRange"
"45","Light Cult Crypto Club #45","I9EL8SJE__Diapositiva45.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\I9EL8SJE__Diapositiva45.JPG",".JPG","88.5","True"
"45","Light Cult Crypto Club #45","SARFE3Y5__Diapositiva45.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\SARFE3Y5__Diapositiva45.JPG",".JPG","148.7","True"
"46","Light Cult Crypto Club #46","54SVWX3N__Diapositiva46.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\54SVWX3N__Diapositiva46.JPG",".JPG","133.9","True"
"46","Light Cult Crypto Club #46","E9JBGLWJ__Diapositiva46.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\E9JBGLWJ__Diapositiva46.JPG",".JPG","75.6","True"
"47","Light Cult Crypto Club #47","2GA69K42__Diapositiva47.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2GA69K42__Diapositiva47.JPG",".JPG","142.1","True"
"47","Light Cult Crypto Club #47","3SH95NYI__Diapositiva47.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3SH95NYI__Diapositiva47.JPG",".JPG","111.9","True"
"47","Light Cult Crypto Club #47","TAVJZV8U__Diapositiva47.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\TAVJZV8U__Diapositiva47.JPG",".JPG","55.7","True"
"48","Light Cult Crypto Club #48","4TIRUZH5__Diapositiva48.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\4TIRUZH5__Diapositiva48.JPG",".JPG","80.7","True"
"48","Light Cult Crypto Club #48","5CPG9K8K__Diapositiva48.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\5CPG9K8K__Diapositiva48.JPG",".JPG","47.5","True"
"48","Light Cult Crypto Club #48","6JPR6P4R__Diapositiva48.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\6JPR6P4R__Diapositiva48.JPG",".JPG","136.9","True"
