"NFTNumber","DuplicateCountForNumber","FileName","FullPath","SizeKB"
"46","2","54SVWX3N__Diapositiva46.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\54SVWX3N__Diapositiva46.JPG","133.9"
"46","2","E9JBGLWJ__Diapositiva46.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\E9JBGLWJ__Diapositiva46.JPG","75.6"
"47","3","2GA69K42__Diapositiva47.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2GA69K42__Diapositiva47.JPG","142.1"
"47","3","3SH95NYI__Diapositiva47.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3SH95NYI__Diapositiva47.JPG","111.9"
"47","3","TAVJZV8U__Diapositiva47.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\TAVJZV8U__Diapositiva47.JPG","55.7"
"48","3","4TIRUZH5__Diapositiva48.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\4TIRUZH5__Diapositiva48.JPG","80.7"
"48","3","5CPG9K8K__Diapositiva48.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\5CPG9K8K__Diapositiva48.JPG","47.5"
"48","3","6JPR6P4R__Diapositiva48.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\6JPR6P4R__Diapositiva48.JPG","136.9"
"49","3","RJHVMWJW__Diapositiva49.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\RJHVMWJW__Diapositiva49.JPG","69.2"
"49","3","RKKZ2PR9__Diapositiva49.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\RKKZ2PR9__Diapositiva49.JPG","135.9"
"49","3","YZIUBWBG__Diapositiva49.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YZIUBWBG__Diapositiva49.JPG","89.1"
"50","3","3GW7EU5S__Diapositiva50.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3GW7EU5S__Diapositiva50.JPG","182.5"
"50","3","T9DXRGAL__Diapositiva50.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\T9DXRGAL__Diapositiva50.JPG","69.4"
"50","3","TDLCNLJ9__Diapositiva50.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\TDLCNLJ9__Diapositiva50.JPG","111.9"
"51","3","D3MS7MHX__Diapositiva51.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\D3MS7MHX__Diapositiva51.JPG","145.3"
"51","3","KLNMQGQZ__Diapositiva51.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\KLNMQGQZ__Diapositiva51.JPG","138.7"
"51","3","TX9F86NJ__Diapositiva51.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\TX9F86NJ__Diapositiva51.JPG","126.9"
"52","2","DQHS63G8__Diapositiva52.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\DQHS63G8__Diapositiva52.JPG","138.5"
"52","2","EZPDFIWL__Diapositiva52.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\EZPDFIWL__Diapositiva52.JPG","78.5"
"53","2","3ZIHZCZN__Diapositiva53.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3ZIHZCZN__Diapositiva53.JPG","47.1"
"53","2","FXTUN9U7__Diapositiva53.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\FXTUN9U7__Diapositiva53.JPG","141.6"
"54","3","3IKFVH9M__Diapositiva54.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3IKFVH9M__Diapositiva54.JPG","75.9"
"54","3","N5SLHPSV__Diapositiva54.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\N5SLHPSV__Diapositiva54.JPG","124.5"
"54","3","V3GKXVE6__Diapositiva54.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\V3GKXVE6__Diapositiva54.JPG","125.6"
"55","3","BMY6X3HF__Diapositiva55.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\BMY6X3HF__Diapositiva55.JPG","87.5"
"55","3","T8NIJM88__Diapositiva55.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\T8NIJM88__Diapositiva55.JPG","73.5"
"55","3","YWZL6UPW__Diapositiva55.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YWZL6UPW__Diapositiva55.JPG","56.1"
"56","3","AXIPRIPB__Diapositiva56.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\AXIPRIPB__Diapositiva56.JPG","158.9"
"56","3","DPSD2VNI__Diapositiva56.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\DPSD2VNI__Diapositiva56.JPG","100.2"
"56","3","RLYFDTLF__Diapositiva56.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\RLYFDTLF__Diapositiva56.JPG","78"
"57","3","4M64WLNZ__Diapositiva57.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\4M64WLNZ__Diapositiva57.JPG","120.5"
"57","3","IEXXQ82D__Diapositiva57.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\IEXXQ82D__Diapositiva57.JPG","83"
"57","3","SGCQVI8X__Diapositiva57.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\SGCQVI8X__Diapositiva57.JPG","71.5"
"58","3","E6KFHC6A__Diapositiva58.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\E6KFHC6A__Diapositiva58.JPG","146.8"
"58","3","TSEBNAL8__Diapositiva58.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\TSEBNAL8__Diapositiva58.JPG","104.8"
"58","3","VH2ZVHFF__Diapositiva58.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\VH2ZVHFF__Diapositiva58.JPG","104.9"
"59","3","GGK95AVY__Diapositiva59.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\GGK95AVY__Diapositiva59.JPG","98.9"
"59","3","KTH4WEJ5__Diapositiva59.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\KTH4WEJ5__Diapositiva59.JPG","82.9"
"59","3","QFHV7EUP__Diapositiva59.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\QFHV7EUP__Diapositiva59.JPG","123.1"
"60","3","JP8JQSFY__Diapositiva60.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\JP8JQSFY__Diapositiva60.JPG","72.9"
